Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Maruwa Yen1k,M12,0.000,16.23,"JPY 506,183.067","JPY 72,862",-,-,Technology,-
DBS,D05,53.280,17.13,"SGD 152,820.046","SGD 22,815",13.68,4.90,Financial Services,106.2
OCBC Bank,O39,16.790,13.26,"SGD 75,791.465","SGD 14,383",10.48,4.86,Financial Services,103.2
YZJ Shipbldg CNY,SO7,11.520,28.10,"CNY 73,425.172","CNY 26,370.617",5.86,-,Industrials,-
Singtel,Z74,4.250,15.81,"SGD 70,344.641","SGD 14,146.1",17.81,2.89,Communication Services,108.3
Singtel 10,Z77,4.250,15.81,"SGD 70,344.641","SGD 14,146.1",17.81,-,Communication Services,-
Lonza,O6Z,79.970,6.77,"SGD 59,613.885","SGD 7,093",21.47,3.75,Healthcare,-
UOB,U11,34.930,12.41,"SGD 58,654.123","SGD 14,391",10.09,5.01,Financial Services,104.3
Murata Yen1k,PJX,0.000,9.10,"SGD 44,131.522","SGD 1,737,799",-,-,Technology,-
Prudential USD,K6S,12.200,12.94,"USD 34,270.107","USD 21,259",9.48,1.98,Financial Services,-
ST Engineering,S63,8.470,27.38,"SGD 26,658.079","SGD 11,671.219",34.96,1.99,Industrials,105.1
Nomura Yen1k,N33,1.990,9.99,"SGD 26,409.963","SGD 1,730,098",-,24.52,Financial Services,-
IHH,Q0F,2.470,8.97,"SGD 21,684.349","SGD 24,927",31.63,1.30,Healthcare,-
SIA,C6L,6.550,17.37,"SGD 19,753.232","SGD 19,611.8",8.41,6.02,Industrials,95.6
SGX,S68,17.430,31.15,"SGD 18,747.227","SGD 1,370.625",29.04,2.06,Financial Services,99.8
JMH USD,J36,61.000,-1.65,"USD 18,548.371","USD 35,577",184.38,3.59,Industrials,-
Wilmar Intl,F34,2.900,5.84,"SGD 18,353.635","SGD 69,336.38",12.01,4.76,Consumer Defensive,84.4
NIO Inc. USD OV,NIO,7.090,-143.80,"USD 18,301.466","USD 69,420.349",-,-,Consumer Cyclical,-
CapLand IntCom T,C38U,2.330,6.28,"SGD 17,627.232","SGD 1,582.014",17.22,5.31,Real Estate,106.5
Keppel,BN4,9.140,8.60,"SGD 16,528.446","SGD 6,434.197",18.69,3.71,Industrials,109.7
Shangri-La HKD,S07,4.590,3.10,"HKD 16,304.2","HKD 2,192.306",17.70,3.14,Consumer Cyclical,-
Great Eastern,G07,14.910,12.01,"SGD 14,161.707","SGD 12,023.4",7.09,4.68,Financial Services,92
HongkongLand USD,H78,6.350,-4.47,"USD 13,898.701","USD 1,780.9",-,3.59,Real Estate,-
YZJ Shipbldg SGD,BS6,3.290,28.10,"SGD 13,381.003","SGD 26,370.617",9.51,3.53,Industrials,75.5
CapitaLandInvest,9CI,2.660,3.43,"SGD 13,366.631","SGD 2,490",30.80,4.48,Real Estate,99.2
CapLand Ascendas REIT,A17U,2.820,7.36,"SGD 13,088.785","SGD 1,507.73",17.79,2.63,Real Estate,109.6
ThaiBev,Y92,0.485,15.54,"SGD 12,313.939","SGD 342,009.442",10.77,5.02,Consumer Defensive,89.1
Sembcorp Ind,U96,6.360,20.32,"SGD 11,393.569","SGD 6,151",11.45,4.06,Industrials,94.3
Jardine C&C,C07,28.390,11.58,"SGD 11,327.472","SGD 22,387.6",10.48,5.01,Industrials,107.3
Genting Sing,G13,0.710,7.02,"SGD 8,760.114","SGD 2,388.678",19.23,5.52,Consumer Cyclical,92.2
Seatrium Ltd,5E2,2.210,2.46,"SGD 7,721.297","SGD 10,583.212",29.34,0.66,Energy,-
Mapletree PanAsia Com Tr,N2IU,1.440,6.13,"SGD 7,648.448",SGD 827.649,12.99,5.48,Real Estate,81.1
UOL,U14,8.120,3.17,"SGD 6,725.921","SGD 3,072.301",15.53,2.26,Real Estate,98.3
Mapletree Log Tr,M44U,1.250,2.50,"SGD 6,418.352",SGD 710.368,35.29,6.19,Real Estate,90.3
CityDev,C09,7.100,2.09,"SGD 6,307.416","SGD 3,396.59",32.39,1.13,Real Estate,98.1
Mapletree Ind Tr,ME8U,2.120,6.41,"SGD 6,104.511",SGD 682.374,17.98,6.27,Real Estate,84.8
Emperador Inc.,EMI,0.360,6.54,"SGD 5,681.715","SGD 59,246.771",40.31,1.22,Consumer Defensive,-
CMS,8A8,2.260,10.18,"SGD 5,669.365","SGD 7,859.901",18.67,1.21,Healthcare,-
Keppel DC Reit,AJBU,2.340,10.58,"SGD 5,416.312",SGD 364.416,14.37,4.18,Real Estate,96.4
SATS,S58,3.460,9.83,"SGD 5,226.743","SGD 5,957",21.14,1.42,Industrials,114.1
Frasers Cpt Tr,J69U,2.350,4.86,"SGD 4,829.949",SGD 363.912,20.84,5.11,Real Estate,78.4
DFIRG USD,D01,3.310,-31.31,"USD 4,521.193","USD 8,851.3",-,3.14,Consumer Defensive,-
SingaporeLandGrp,U06,3.080,3.43,"SGD 4,412.615",SGD 758.754,15.10,1.46,Real Estate,94.4
Frasers Property,TQ5,1.070,1.58,"SGD 4,200.864","SGD 4,257.153",15.74,4.21,Real Estate,94.9
Venture,V03,14.430,8.56,"SGD 4,194.683","SGD 2,611.882",18.00,5.14,Technology,75.9
TJ DaRenTang USD,T14,2.840,30.87,"USD 4,074.769","USD 5,992.514",4.50,6.19,Healthcare,53.6
YZJ Fin Hldg,YF8,1.120,7.71,"SGD 4,037.323",SGD 229.371,12.11,2.97,Financial Services,69.4
AvePoint,AVP,18.880,-12.13,"SGD 4,003.622",SGD 373.069,-,-,Technology,-
SIA Engineering,S59,3.490,8.19,"SGD 3,931.033","SGD 1,334.849",26.45,2.56,Industrials,98.2
Keppel Reit,K71U,1.000,1.89,"SGD 3,890.22",SGD 272.998,24.39,5.52,Real Estate,87.4
Suntec Reit,T82U,1.300,1.76,"SGD 3,877.939",SGD 471.133,-,4.78,Real Estate,85.1
Golden Agri-Res,E5H,0.295,7.27,"SGD 3,741.094","SGD 11,919.759",6.86,2.73,Consumer Defensive,80
NetLink NBN Tr,CJLU,0.960,3.88,"SGD 3,741.092",SGD 406.996,39.18,5.58,Communication Services,106.5
Olam Group,VC2,0.970,0.75,"SGD 3,716.469","SGD 61,236.528",11.60,5.08,Consumer Defensive,81.8
Frasers L&C Tr,BUOU,0.950,3.41,"SGD 3,627.065",SGD 462.974,26.97,6.58,Real Estate,98.3
CapLand Ascott T,HMN,0.935,4.76,"SGD 3,609.502",SGD 821.604,16.10,6.43,Real Estate,112.1
Haw Par,H02,14.990,5.99,"SGD 3,367.01",SGD 253.046,13.45,2.63,Healthcare,95.4
Sheng Siong,OV8,2.140,26.74,"SGD 3,217.569","SGD 1,479.195",22.99,2.99,Consumer Defensive,83.3
ComfortDelGro,C52,1.470,8.10,"SGD 3,206.81","SGD 4,781.7",14.51,5.51,Industrials,102.1
TCIL HK$,T15,1.570,4.34,"HKD 3,140.762","HKD 12,617.338",6.04,4.75,Consumer Cyclical,-
Man Oriental USD,M04,2.270,-2.71,"USD 2,932.038",USD 522.4,-,2.16,Consumer Cyclical,-
IFAST,AIY,9.440,23.50,"SGD 2,854.868",SGD 386.929,37.66,0.71,Technology,82.8
Kep Infra Tr,A7RU,0.460,3.84,"SGD 2,829.519","SGD 2,329.897",18.75,6.92,Basic Materials,90.6
ParkwayLife Reit,C2PU,4.120,6.37,"SGD 2,701.156",SGD 150.736,31.46,3.63,Real Estate,82
First Resources,EB5,1.710,18.32,"SGD 2,680.377","SGD 1,255.418",7.11,6.24,Consumer Defensive,82
HPL,H15,5.000,0.87,"SGD 2,639.125",SGD 724.07,73.31,0.80,Consumer Cyclical,80
UOB Kay Hian,U10,2.430,11.18,"SGD 2,415.987",SGD 559.343,11.08,4.80,Financial Services,66.5
HPH Trust SGD,P7VU,0.260,2.57,"SGD 2,320.223","SGD 11,603.689",17.99,7.91,Industrials,-
GuocoLand,F17,2.040,2.03,"SGD 2,281.822","SGD 1,916.402",24.35,2.93,Real Estate,86
ESR REIT,9A4U,2.790,-5.50,"SGD 2,258.333",SGD 412.524,-,7.55,Real Estate,-
Bumitama Agri,P8Z,1.270,16.62,"SGD 2,202.363","SGD 18,874,623",10.44,7.14,Consumer Defensive,78.4
F & N,F99,1.470,5.19,"SGD 2,184.475","SGD 2,303.636",14.70,3.67,Consumer Defensive,86.4
StarHub,CC3,1.130,25.95,"SGD 1,963.398","SGD 2,391.7",16.76,5.44,Communication Services,88.2
Hong Leong Asia,H22,2.600,9.07,"SGD 1,960.13","SGD 4,827.167",20.84,1.91,Consumer Cyclical,99.3
OUEREIT,TS0U,0.345,-2.17,"SGD 1,929.768",SGD 279.906,-,6.03,Real Estate,85.3
PropNex,OYY,2.510,32.93,"SGD 1,916.6","SGD 1,036.313",29.87,3.09,Real Estate,79.3
Raffles Medical,BSL,1.020,5.99,"SGD 1,866.138",SGD 764.321,29.45,2.48,Healthcare,81.4
